"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.540908100E0,-2.214636505E-1,9.801861763E0,-3.603273630E-1
3.550858100E0,-2.130839527E-1,9.806650162E0,-3.519476354E-1
3.560964100E0,-2.202665508E-1,9.812635422E0,-3.627215624E-1
3.571170100E0,-2.238578647E-1,9.800664902E0,-3.543418646E-1
3.581017100E0,-2.118868530E-1,9.804255486E0,-3.639186621E-1
3.590913100E0,-2.142810524E-1,9.804255486E0,-3.603273630E-1
3.600955100E0,-2.226607651E-1,9.803058624E0,-3.567360640E-1
3.610986100E0,-2.202665508E-1,9.801861763E0,-3.663128614E-1
3.620924100E0,-2.298433632E-1,9.794678688E0,-3.722983599E-1
3.631071100E0,-2.226607651E-1,9.807847023E0,-3.555389643E-1
3.640938100E0,-2.094926536E-1,9.804255486E0,-3.603273630E-1
3.650920100E0,-2.202665508E-1,9.803058624E0,-3.603273630E-1
3.660969100E0,-2.106897533E-1,9.809044838E0,-3.651157618E-1
3.671053100E0,-2.166752517E-1,9.807847023E0,-3.591302633E-1
3.680868100E0,-2.178723514E-1,9.799467087E0,-3.507505357E-1
3.690946100E0,-2.154781520E-1,9.800664902E0,-3.543418646E-1
3.700909100E0,-2.202665508E-1,9.803058624E0,-3.603273630E-1
3.710819100E0,-2.118868530E-1,9.799467087E0,-3.579331636E-1
3.720910100E0,-2.166752517E-1,9.803058624E0,-3.615244627E-1
3.730997100E0,-2.178723514E-1,9.806650162E0,-3.639186621E-1
3.740852100E0,-2.262520641E-1,9.807847023E0,-3.555389643E-1
3.750954100E0,-2.250549644E-1,9.801861763E0,-3.627215624E-1
3.760877100E0,-2.190694511E-1,9.800664902E0,-3.615244627E-1
3.770907100E0,-2.262520641E-1,9.809044838E0,-3.699041605E-1
3.781298100E0,-2.262520641E-1,9.805453300E0,-3.603273630E-1
3.790861100E0,-2.154781520E-1,9.804255486E0,-3.543418646E-1
3.800921100E0,-2.166752517E-1,9.807847023E0,-3.591302633E-1
3.810908100E0,-2.202665508E-1,9.804255486E0,-3.507505357E-1
3.821172100E0,-2.250549644E-1,9.809044838E0,-3.627215624E-1
