"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.792897025E0,-2.454056740E-1,6.464344263E-2,9.603142738E0
1.802801025E0,-2.358288616E-1,6.823474914E-2,9.598354340E0
1.812868025E0,-2.370259613E-1,6.105214357E-2,9.604340553E0
1.822870025E0,-2.334346622E-1,5.506663769E-2,9.606734276E0
1.832899025E0,-2.274491638E-1,6.464344263E-2,9.592369080E0
1.843739025E0,-2.310404629E-1,5.985504389E-2,9.601945877E0
1.852877025E0,-2.454056740E-1,5.985504389E-2,9.609128952E0
1.862892025E0,-2.418143749E-1,5.506663769E-2,9.607931137E0
1.872843025E0,-2.430114746E-1,6.224924326E-2,9.604340553E0
1.882809025E0,-2.406172752E-1,6.584054977E-2,9.600749016E0
1.892834025E0,-2.370259613E-1,6.224924326E-2,9.609128952E0
1.902731025E0,-2.322375625E-1,6.703764945E-2,9.605537415E0
1.912824025E0,-2.394201756E-1,5.386953801E-2,9.610325813E0
1.922919025E0,-2.370259613E-1,5.626374111E-2,9.603142738E0
1.932931025E0,-2.370259613E-1,5.386953801E-2,9.601945877E0
1.943144025E0,-2.322375625E-1,5.865794048E-2,9.600749016E0
1.952908025E0,-2.370259613E-1,5.027823523E-2,9.606734276E0
1.962757025E0,-2.406172752E-1,5.746084079E-2,9.594763756E0
1.972853025E0,-2.322375625E-1,5.147533491E-2,9.589975357E0
1.982805025E0,-2.418143749E-1,5.147533491E-2,9.607931137E0
1.992875025E0,-2.298433632E-1,6.584054977E-2,9.607931137E0
2.002770025E0,-2.346317619E-1,4.788403213E-2,9.606734276E0
2.012885025E0,-2.382230759E-1,5.027823523E-2,9.605537415E0
2.022889025E0,-2.370259613E-1,5.865794048E-2,9.599552155E0
2.032887025E0,-2.406172752E-1,5.746084079E-2,9.600749016E0
2.042760025E0,-2.406172752E-1,5.985504389E-2,9.607931137E0
2.052866025E0,-2.466027737E-1,5.386953801E-2,9.603142738E0
2.062810025E0,-2.418143749E-1,5.985504389E-2,9.598354340E0
2.072737025E0,-2.358288616E-1,5.386953801E-2,9.599552155E0
2.082771025E0,-2.430114746E-1,5.626374111E-2,9.599552155E0
2.092867025E0,-2.346317619E-1,5.386953801E-2,9.604340553E0
2.103135025E0,-2.430114746E-1,5.746084079E-2,9.603142738E0
2.112871025E0,-2.418143749E-1,5.985504389E-2,9.603142738E0
2.122766025E0,-2.346317619E-1,6.943184882E-2,9.597157478E0
2.132849025E0,-2.286462635E-1,5.865794048E-2,9.607931137E0
2.142984025E0,-2.382230759E-1,6.584054977E-2,9.595960617E0
2.152863025E0,-2.430114746E-1,5.386953801E-2,9.603142738E0
2.162824025E0,-2.406172752E-1,5.865794048E-2,9.594763756E0
2.172847025E0,-2.358288616E-1,5.027823523E-2,9.603142738E0
2.182837025E0,-2.394201756E-1,6.344634295E-2,9.599552155E0
2.193162025E0,-2.430114746E-1,5.506663769E-2,9.603142738E0
2.202820025E0,-2.382230759E-1,5.746084079E-2,9.593565941E0
2.212905025E0,-2.370259613E-1,6.943184882E-2,9.597157478E0
2.222833025E0,-2.310404629E-1,6.224924326E-2,9.607931137E0
2.232901025E0,-2.382230759E-1,6.464344263E-2,9.597157478E0
2.242814025E0,-2.430114746E-1,6.823474914E-2,9.593565941E0
2.252746025E0,-2.346317619E-1,5.626374111E-2,9.601945877E0
2.263104025E0,-2.346317619E-1,6.464344263E-2,9.601945877E0
2.272834025E0,-2.394201756E-1,6.344634295E-2,9.598354340E0
2.282863025E0,-2.370259613E-1,6.464344263E-2,9.595960617E0
2.292926025E0,-2.346317619E-1,5.506663769E-2,9.599552155E0
2.302754025E0,-2.418143749E-1,5.865794048E-2,9.595960617E0
2.312942025E0,-2.442085743E-1,5.626374111E-2,9.603142738E0
2.322848025E0,-2.346317619E-1,6.224924326E-2,9.601945877E0
2.332736025E0,-2.394201756E-1,5.746084079E-2,9.603142738E0
2.342858025E0,-2.334346622E-1,6.224924326E-2,9.598354340E0
2.352888025E0,-2.298433632E-1,5.985504389E-2,9.599552155E0
2.362844025E0,-2.454056740E-1,5.626374111E-2,9.598354340E0
2.372732025E0,-2.406172752E-1,5.626374111E-2,9.595960617E0
2.382894025E0,-2.370259613E-1,5.746084079E-2,9.597157478E0
2.393043025E0,-2.394201756E-1,5.746084079E-2,9.605537415E0
2.402814025E0,-2.322375625E-1,5.386953801E-2,9.605537415E0
2.412981025E0,-2.322375625E-1,5.506663769E-2,9.589975357E0
2.422839025E0,-2.430114746E-1,5.746084079E-2,9.600749016E0
2.433181025E0,-2.394201756E-1,6.584054977E-2,9.592369080E0
2.443080025E0,-2.430114746E-1,5.865794048E-2,9.592369080E0
2.452951025E0,-2.358288616E-1,6.703764945E-2,9.598354340E0
2.463245025E0,-2.310404629E-1,5.865794048E-2,9.600749016E0
2.472955025E0,-2.370259613E-1,5.267243832E-2,9.589975357E0
2.482773025E0,-2.394201756E-1,5.506663769E-2,9.594763756E0
2.492968025E0,-2.370259613E-1,6.224924326E-2,9.597157478E0
2.502759025E0,-2.442085743E-1,5.147533491E-2,9.600749016E0
2.512895025E0,-2.406172752E-1,6.344634295E-2,9.599552155E0
2.522809025E0,-2.358288616E-1,6.464344263E-2,9.595960617E0
2.532895025E0,-2.394201756E-1,6.584054977E-2,9.598354340E0
2.542814025E0,-2.358288616E-1,5.386953801E-2,9.603142738E0
2.552974025E0,-2.358288616E-1,6.344634295E-2,9.601945877E0
2.563455025E0,-2.382230759E-1,5.506663769E-2,9.606734276E0
2.572821025E0,-2.418143749E-1,6.105214357E-2,9.594763756E0
2.582860025E0,-2.406172752E-1,5.506663769E-2,9.598354340E0
2.592903025E0,-2.382230759E-1,6.584054977E-2,9.599552155E0
2.602799025E0,-2.418143749E-1,5.626374111E-2,9.606734276E0
2.612877025E0,-2.298433632E-1,6.105214357E-2,9.595960617E0
2.622751025E0,-2.394201756E-1,5.506663769E-2,9.600749016E0
2.632873025E0,-2.394201756E-1,5.626374111E-2,9.595960617E0
2.642769025E0,-2.418143749E-1,6.584054977E-2,9.599552155E0
2.652836025E0,-2.406172752E-1,5.506663769E-2,9.598354340E0
2.662993025E0,-2.394201756E-1,5.746084079E-2,9.604340553E0
2.672747025E0,-2.442085743E-1,5.027823523E-2,9.592369080E0
2.682821025E0,-2.346317619E-1,4.788403213E-2,9.598354340E0
2.692997025E0,-2.406172752E-1,6.105214357E-2,9.594763756E0
2.702788025E0,-2.394201756E-1,6.703764945E-2,9.594763756E0
2.712893025E0,-2.322375625E-1,6.224924326E-2,9.603142738E0
2.722737025E0,-2.430114746E-1,5.865794048E-2,9.592369080E0
2.733008025E0,-2.382230759E-1,6.464344263E-2,9.593565941E0
2.742767025E0,-2.370259613E-1,6.823474914E-2,9.599552155E0
2.753404025E0,-2.406172752E-1,5.386953801E-2,9.592369080E0
2.762785025E0,-2.442085743E-1,5.865794048E-2,9.597157478E0
2.772843025E0,-2.370259613E-1,6.105214357E-2,9.588777542E0
2.782849025E0,-2.442085743E-1,6.344634295E-2,9.586383820E0
2.792889025E0,-2.418143749E-1,6.344634295E-2,9.594763756E0
2.802830025E0,-2.382230759E-1,5.865794048E-2,9.592369080E0
2.813206025E0,-2.418143749E-1,5.506663769E-2,9.599552155E0
2.822804025E0,-2.466027737E-1,5.985504389E-2,9.597157478E0
2.832750025E0,-2.346317619E-1,5.506663769E-2,9.600749016E0
2.842860025E0,-2.334346622E-1,5.506663769E-2,9.593565941E0
2.852915025E0,-2.346317619E-1,6.224924326E-2,9.597157478E0
2.862821025E0,-2.382230759E-1,5.985504389E-2,9.593565941E0
2.872876025E0,-2.358288616E-1,5.985504389E-2,9.601945877E0
2.883252025E0,-2.430114746E-1,5.147533491E-2,9.593565941E0
2.892862025E0,-2.418143749E-1,6.105214357E-2,9.601945877E0
2.902771025E0,-2.322375625E-1,5.865794048E-2,9.594763756E0
2.912843025E0,-2.442085743E-1,5.626374111E-2,9.597157478E0
2.922810025E0,-2.358288616E-1,4.548983276E-2,9.589975357E0
2.932920025E0,-2.394201756E-1,5.746084079E-2,9.595960617E0
2.942847025E0,-2.454056740E-1,5.746084079E-2,9.601945877E0
2.952743025E0,-2.394201756E-1,5.267243832E-2,9.592369080E0
2.962782025E0,-2.382230759E-1,5.147533491E-2,9.597157478E0
2.972920025E0,-2.406172752E-1,6.224924326E-2,9.583989143E0
2.982881025E0,-2.298433632E-1,6.464344263E-2,9.597157478E0
2.992752025E0,-2.262520641E-1,6.464344263E-2,9.580398560E0
3.002766025E0,-2.382230759E-1,5.386953801E-2,9.597157478E0
3.012824025E0,-2.310404629E-1,6.105214357E-2,9.598354340E0
3.022774025E0,-2.274491638E-1,5.147533491E-2,9.591172218E0
3.032851025E0,-2.394201756E-1,6.224924326E-2,9.593565941E0
3.042876025E0,-2.370259613E-1,6.105214357E-2,9.597157478E0
3.052856025E0,-2.322375625E-1,6.703764945E-2,9.598354340E0
3.062762025E0,-2.430114746E-1,5.267243832E-2,9.606734276E0
3.072836025E0,-2.334346622E-1,6.344634295E-2,9.597157478E0
3.082762025E0,-2.430114746E-1,5.865794048E-2,9.594763756E0
3.092860025E0,-2.442085743E-1,5.985504389E-2,9.589975357E0
3.102890025E0,-2.454056740E-1,6.464344263E-2,9.597157478E0
3.112916025E0,-2.442085743E-1,5.865794048E-2,9.592369080E0
3.122866025E0,-2.382230759E-1,4.668693244E-2,9.599552155E0
3.132892025E0,-2.382230759E-1,5.865794048E-2,9.595960617E0
3.142809025E0,-2.286462635E-1,5.985504389E-2,9.599552155E0
3.152991025E0,-2.430114746E-1,5.865794048E-2,9.594763756E0
3.162762025E0,-2.346317619E-1,5.147533491E-2,9.591172218E0
3.172931025E0,-2.442085743E-1,6.224924326E-2,9.591172218E0
3.182886025E0,-2.382230759E-1,6.224924326E-2,9.601945877E0
3.192915025E0,-2.310404629E-1,6.464344263E-2,9.600749016E0
3.202841025E0,-2.346317619E-1,6.584054977E-2,9.589975357E0
3.212939025E0,-2.310404629E-1,6.224924326E-2,9.595960617E0
